,Unnamed: 0.1,Unnamed: 0,review,rating,sentiment_by_rating
0,0,0,jadwal lambat,1,0
1,1,1,bantu guna,5,1
2,2,2,aplikasi  lambat ,1,0
3,3,3,jelek,1,0
4,4,4,baik aneh,1,0
5,5,5,iya pilih kursi,5,1
6,6,6,baik aplikasi masuk aplikasi tanggap,1,0
7,7,7,aplikasi buruk loading parah,1,0
8,8,8,parah beli tiket saldo potong tiket mesan typo,1,0
9,9,9,ubah jadwal kereta tolong tidak susah minggu lambat kereta commuter harga ekonomis enak ubah ubah jadwal kerja tua jalan jadwal ubah ubah,1,0
10,10,10,kompatibel,1,0
11,11,11,jelek proses akun masuk dana hasil transfer,1,0
12,12,12,bayar shopee pay hasil aplikasi bayar saldo kurang keluh customer service balas,1,0
13,13,13,dana iya e wallet,5,1
14,14,14,bantu,5,1
15,15,15,batal tiket hasil dana kembali,2,0
16,16,16,aplikasi lambat isi saldo,1,0
17,17,17,kirim tiket tumpang tumpang daftar tumpang daftar,1,0
18,18,18,usul kembang aplikasi tracking jalan kereta asli akses publik aplikasi informasi kini kait status berangkat lambat mudah tumpang rencana jalan moda transportasi sedia layan aplikasi tracking asli bantu tumpang rencana jalan efisien,1,0
19,19,19,admin aplikasi kai akses premium saldo muncul uang kas professional aktifasi,4,1
20,20,20,tiket kahuripan iya,5,1
21,21,21,uang masuk tiket muncul kembali dana ribet,1,0
22,22,22,krl jelek banget tuju manggarai kereta datang menit layan buruk satu aman teriak krl jelek kecewa berat pelayana,1,0
23,23,23,informasi tunjuk saat pilih kursi kursi arah mundur maju,2,0
24,24,24,bayar susah cocok isi saldo kaspro nunggu menit cocok masuk saldo pakai bayar tiket pesan kursi nunggu saldo masuk kursi selesai ribet ramah bolak pesan bayar ganti pakai qris cocok bayar tiket hilang cocok pesan kursi isi tiket dikit aplikasi bayar service gin,1,0
25,25,25,layan kai oke,5,1
26,26,26,kereta lambat lambat jam jam khusus kereta surabaya jakarta rugi lambat kerja,1,0
27,27,27,knapa pilih kursi iya beli tiket h pilih kursi pilih kursi otomatis sistem langsung,1,0
28,28,28,aplikasi guna beli tiket lebih bodoh business business,5,1
29,29,29,aktif kaipay nomor sms otp deh kirim ulang,1,0
30,30,30,baik iya bayar e wallet layan customer service kembali dana proses mesan beli nyaman kendala banyakin promosi beli tiket pergi tunjuk aplikasi,5,1
31,31,31,mantap mantap,5,1
32,32,32,data kadang susah masuk iya,4,1
33,33,33,atur bosen kai tanggal feb pilih kursi kereta lokal rangkasbitung merak enak pilih kursi tiada sistem krl mrt,1,0
34,34,34,iya bayar tiket pakai kai pay saldo gagal saldo pakai,1,0
35,35,35,batal tiket kereta bisa,1,0
36,36,36,cepat murah,5,1
37,37,37,lupa akun iya lapor email balas,1,0
38,38,38,sampah sering baru maintenance maintenance aplikasi bagus fitur,1,0
39,39,39,anjur ponsel kentang pakai hah ponsel bagus aplikasi,1,0
40,40,40,banyak jalur cikarang lelah nunggu,2,0
41,41,41,aplikasi jelek daftar suruh masuk ulang sandi salah,1,0
42,42,42,kasih bintang bingung aplikasi durasi mesan cepat pilih kursi ulang sedang durasi kadaluarsa tiket pilih pilih orang harap perbaikin layan depan,2,0
43,43,43,pesan tiket suruh akun dasar verifikasi gimanaa coba perbaikin layan aplikasi suasana hati kereta males gin,1,0
44,44,44,install lawak,1,0
45,45,45,buka suruh,2,0
46,46,46,error aplikasi,1,0
47,47,47,mantap,5,1
48,48,48,karcis tidak pakai tinggal uang tidak,1,0
49,49,49,aplikasi bagus manfaat bnget,5,1
50,50,50,susah daftar akun suruh upgarade dasar aneh,1,0
51,51,51,nunggu menit aduh,2,0
52,52,52,maksimal cepat saldo bayar kai pay lambat harus siap cepat akses transaksi luncur layan bayar elektronik aplikasi,1,0
53,53,53,layan,5,1
54,54,54,reschedul tiket online offline instagram kai akses responsif,1,0
55,55,55,bagus akurat jam kai,5,1
56,56,56,pesan tiket teman belah acak nomer si pilih nomer duduk,1,0
57,57,57,ubah jadwal sinkron,1,0
58,58,58,akses kai mudah cari jadwal berangkat jurus,5,1
59,59,59,aplikasi batas kapasitas ponsel aplikasi buka,1,0
60,60,60,bagus error iya iya minimal android minimal android susah kerja ponsel aplikasi kompatibel versi sdk downgrade dukung android versi,2,0
61,61,61,kurang bantu lupa pin kaipay susaahh masuk email baik,2,0
62,62,62,tanjung karang palembang kereta malam admin,5,1
63,63,63,sih udahh error bayar tiket masuk metode bayar gilran masuk alat bayar muncul tulis hubung bayar susah sih aneh bangett kembang aplikasi baik kasihan pakai gunain kereta alat transportasi bekerjaa,2,0
64,64,64,aplikasi lambat kayakn,1,0
65,65,65,akun hilang guna masuk,2,0
66,66,66,ribet ribet sistem rusak lambat,1,0
67,67,67,bikin peta rute henti biar tumpang paham kereta aplikasi tiket kereta lokal jarak maaf dar saran admin,5,1
68,68,68,bayar e wallet ovo error,1,0
69,69,69,aplikasi fasilitas lengkap menu cancel batal ribet batal,1,0
70,70,70,aplikasi akses kai bantu tambah aplikasi cantum call center hubung kendala mesan tiket aplikasi cantum sana,1,0
71,71,71,pesan tiket tiket pulang tiket pergi bayar lunas tampil e tiket muncul rugi,1,0
